Release (AF),Elevation (ft),PCF (MWh/AF)
19763.14051,6747.845,0.076992253
19622.31408,6744.765,0.101867713
30504.21488,6744.085,0.130248141
53490.08267,6743.955,0.175490003
117620.1653,6751.07,0.190134857
419308.843,6755.22,0.196916379
120432.1488,6750.31,0.185578527
108481.405,6749.355,0.192280209
86800.8595,6748.61,0.194609402
73769.50412,6746.725,0.191198154
29580.19833,6746.97,0.13245935
61408.26445,6747.24,0.183697619
64303.05784,6746.235,0.186315275
33276.11568,6749.005,0.15100068
34806.63635,6751.98,0.149044678
57971.90084,6751.825,0.183103377
96439.58677,6751.87,0.195683073
251512.3967,6753.945,0.192515377
157684.7934,6753.505,0.193176764
110561.157,6750.19,0.194105932
106941.3223,6746.89,0.189343426
51794.54544,6748.595,0.176055302
67617.02481,6747.635,0.185953281
63102.13226,6750.34,0.187119756
41283.28924,6752.4,0.16335801
80236.44629,6751.865,0.196682851
201189.4215,6752.27,0.194455275
93455.04134,6752.565,0.198723534
119180.4959,6751.02,0.189612733
114441.0744,6749.67,0.189164712
106957.7686,6748.175,0.192636458
96881.48759,6747.485,0.195366965
37187.04134,6749.195,0.155643692
37212.21489,6750.96,0.153926694
37493.05782,6750.87,0.152419562
59654.04958,6749.925,0.185374183
75220.05785,6751.855,0.197556009
331180.8264,6755.74,0.193483974
231269.9917,6755.805,0.194447379
120685.2893,6749.01,0.190165121
119137.438,6745.515,0.186305257
115152.2314,6746.71,0.189153933
108838.281,6749.915,0.192993533
46356.8595,6750.545,0.170310722
97368.01652,6749.56,0.19495187
66474.71072,6748.61,0.185500957
36451.81818,6749.025,0.156975328
52968.76035,6749.015,0.173705988
83970.57853,6748.66,0.193461849
102293.1405,6749.38,0.193259445
101923.967,6749.945,0.192192156
102773.5537,6750.535,0.194556439
97805.86775,6747.71,0.194464363
87457.52067,6741.025,0.1863691
55262.89259,6744.545,0.170863653
21115.86776,6747.49,0.076651061
21772.64468,6744.215,0.07665851
21636.36365,6745.945,0.07701991
26181.90082,6747.415,0.132984486
30433.96692,6750.515,0.134695244
55277.43801,6753.03,0.18238884
152767.9339,6756.295,0.195488865
282251.4876,6756.21,0.191947911
178331.5702,6749.955,0.185967365
147168.6777,6740.07,0.181959278
94500.49586,6741.98,0.190008052
92497.10744,6750.18,0.19210732
76065.9504,6748.325,0.18995671
89286.77686,6746.65,0.191659385
66732.14874,6746.005,0.184387719
43032.62728,6747.16,0.17631729
45667.50619,6751.545,0.16193159
80765.34383,6754.375,0.196493863
120512.3331,6754.415,0.195999929
92538.3372,6750.9,0.197272453
94118.92562,6748.77,0.195550978
97199.23633,6750.145,0.195781502
85382.3124,6750.035,0.188806485
67497.81818,6750.685,0.185165953
25239.39255,6751.305,0.108836914
25620.85373,6751.395,0.110113395
25492.77025,6749.975,0.109123531
23196.05786,6748.605,0.107074543
36937.13802,6748.785,0.150872299
86817.7132,6750.705,0.19526281
100344.7959,6753.01,0.198861858
94190.94218,6752.335,0.198740574
103044.4066,6750.865,0.197458983
100057.1355,6751.05,0.197244828
95712.83806,6752.305,0.198941639
66019.71737,6752.635,0.192886255
21898.46364,6751,0.085901135
20715.83056,6749.87,0.075636757
20500.14132,6750.235,0.070167279
18424.94628,6748.375,0.071405069
32328.03635,6749.465,0.136586002
54451.94047,6752.445,0.179042934
105725.405,6751.865,0.192089607
81222.48347,6752.035,0.195564375
89940.58182,6750.175,0.195149689
92598.49256,6749.6,0.19506034
80336.10248,6750.845,0.194056256
62662.05946,6750.73,0.182914545
22839.06362,6752.105,0.095096019
22461.1901,6752.28,0.089145878
22099.7178,6751.505,0.081818957
20047.67604,6751.54,0.0777884
41411.2909,6751.725,0.171729406
154613.5033,6751.775,0.189467616
173960.5182,6754.21,0.188818974
138400.4694,6754.885,0.189648299
107916.105,6752.18,0.192222638
104236.0719,6751.875,0.192283882
70460.73887,6749.83,0.188210973
35287.03802,6747.37,0.14580585
38266.60579,6747.515,0.149891814
36863.32067,6749.955,0.146438799
35635.5198,6739.615,0.149782003
52621.71075,6739.64,0.169067664
88518.43053,6751.745,0.194398696
252500.1901,6755.265,0.191395401
173479.4917,6755.47,0.194390611
121006.5769,6751.795,0.1923489
102946.4174,6749.74,0.193290357
86338.77603,6744.715,0.194055066
84439.86737,6745.225,0.178587274
23276.29836,6750.05,0.102821403
30048.48101,6750.965,0.134080579
